,Date,Status,state,cases
516,2020-09-02,Confirmed,TT,82860
517,2020-09-02,Recovered,TT,67874
518,2020-09-02,Deceased,TT,1026
519,2020-09-03,Confirmed,TT,84156
520,2020-09-03,Recovered,TT,67491
521,2020-09-03,Deceased,TT,1083
522,2020-09-04,Confirmed,TT,87115
523,2020-09-04,Recovered,TT,69625
524,2020-09-04,Deceased,TT,1066
525,2020-09-05,Confirmed,TT,90600
526,2020-09-05,Recovered,TT,73161
527,2020-09-05,Deceased,TT,1044
528,2020-09-06,Confirmed,TT,91725
529,2020-09-06,Recovered,TT,69630
530,2020-09-06,Deceased,TT,1005
531,2020-09-07,Confirmed,TT,75015
532,2020-09-07,Recovered,TT,74116
533,2020-09-07,Deceased,TT,1129
534,2020-09-08,Confirmed,TT,89855
535,2020-09-08,Recovered,TT,74608
536,2020-09-08,Deceased,TT,1107
537,2020-09-09,Confirmed,TT,95536
538,2020-09-09,Recovered,TT,73062
539,2020-09-09,Deceased,TT,1168
540,2020-09-10,Confirmed,TT,96762
541,2020-09-10,Recovered,TT,70904
542,2020-09-10,Deceased,TT,1213
543,2020-09-11,Confirmed,TT,97655
544,2020-09-11,Recovered,TT,81456
545,2020-09-11,Deceased,TT,1202
546,2020-09-12,Confirmed,TT,94414
547,2020-09-12,Recovered,TT,77862
548,2020-09-12,Deceased,TT,1111
549,2020-09-13,Confirmed,TT,93220
550,2020-09-13,Recovered,TT,77748
551,2020-09-13,Deceased,TT,1140
552,2020-09-14,Confirmed,TT,81913
553,2020-09-14,Recovered,TT,79213
554,2020-09-14,Deceased,TT,1054
555,2020-09-15,Confirmed,TT,91098
556,2020-09-15,Recovered,TT,82849
557,2020-09-15,Deceased,TT,1281
558,2020-09-16,Confirmed,TT,97860
559,2020-09-16,Recovered,TT,82924
560,2020-09-16,Deceased,TT,1140
561,2020-09-17,Confirmed,TT,96787
562,2020-09-17,Recovered,TT,87788
563,2020-09-17,Deceased,TT,1175
564,2020-09-18,Confirmed,TT,92973
565,2020-09-18,Recovered,TT,95515
566,2020-09-18,Deceased,TT,1221
567,2020-09-19,Confirmed,TT,92574
568,2020-09-19,Recovered,TT,94389
569,2020-09-19,Deceased,TT,1149
570,2020-09-20,Confirmed,TT,87395
571,2020-09-20,Recovered,TT,92926
572,2020-09-20,Deceased,TT,1135
573,2020-09-21,Confirmed,TT,74493
574,2020-09-21,Recovered,TT,102070
575,2020-09-21,Deceased,TT,1056
576,2020-09-22,Confirmed,TT,83362
577,2020-09-22,Recovered,TT,89657
578,2020-09-22,Deceased,TT,1085
579,2020-09-23,Confirmed,TT,86703
580,2020-09-23,Recovered,TT,87459
581,2020-09-23,Deceased,TT,1123
582,2020-09-24,Confirmed,TT,85921
583,2020-09-24,Recovered,TT,81142
584,2020-09-24,Deceased,TT,1144
585,2020-09-25,Confirmed,TT,85717
586,2020-09-25,Recovered,TT,93331
587,2020-09-25,Deceased,TT,1093
588,2020-09-26,Confirmed,TT,88759
589,2020-09-26,Recovered,TT,92365
590,2020-09-26,Deceased,TT,1124
591,2020-09-27,Confirmed,TT,82770
592,2020-09-27,Recovered,TT,74691
593,2020-09-27,Deceased,TT,1040
594,2020-09-28,Confirmed,TT,69669
595,2020-09-28,Recovered,TT,85198
596,2020-09-28,Deceased,TT,775
597,2020-09-29,Confirmed,TT,80500
598,2020-09-29,Recovered,TT,86150
599,2020-09-29,Deceased,TT,1178
600,2020-09-30,Confirmed,TT,86748
601,2020-09-30,Recovered,TT,85274
602,2020-09-30,Deceased,TT,1179
603,2020-10-01,Confirmed,TT,81784
604,2020-10-01,Recovered,TT,78731
605,2020-10-01,Deceased,TT,1099
606,2020-10-02,Confirmed,TT,79883
607,2020-10-02,Recovered,TT,76339
608,2020-10-02,Deceased,TT,1068
609,2020-10-03,Confirmed,TT,75479
610,2020-10-03,Recovered,TT,81655
611,2020-10-03,Deceased,TT,937
612,2020-10-04,Confirmed,TT,74770
613,2020-10-04,Recovered,TT,76713
614,2020-10-04,Deceased,TT,903
615,2020-10-05,Confirmed,TT,60130
616,2020-10-05,Recovered,TT,75855
617,2020-10-05,Deceased,TT,886
618,2020-10-06,Confirmed,TT,71869
619,2020-10-06,Recovered,TT,81945
620,2020-10-06,Deceased,TT,990
621,2020-10-07,Confirmed,TT,78809
622,2020-10-07,Recovered,TT,83209
623,2020-10-07,Deceased,TT,963
624,2020-10-08,Confirmed,TT,70797
625,2020-10-08,Recovered,TT,78745
626,2020-10-08,Deceased,TT,967
627,2020-10-09,Confirmed,TT,73305
628,2020-10-09,Recovered,TT,82628
629,2020-10-09,Deceased,TT,929
630,2020-10-10,Confirmed,TT,74418
631,2020-10-10,Recovered,TT,89024
632,2020-10-10,Deceased,TT,921
633,2020-10-11,Confirmed,TT,67789
634,2020-10-11,Recovered,TT,71565
635,2020-10-11,Deceased,TT,813
636,2020-10-12,Confirmed,TT,54262
637,2020-10-12,Recovered,TT,78365
638,2020-10-12,Deceased,TT,710
639,2020-10-13,Confirmed,TT,63717
640,2020-10-13,Recovered,TT,74079
641,2020-10-13,Deceased,TT,727
642,2020-10-14,Confirmed,TT,67811
643,2020-10-14,Recovered,TT,81582
644,2020-10-14,Deceased,TT,690
645,2020-10-15,Confirmed,TT,63441
646,2020-10-15,Recovered,TT,70792
647,2020-10-15,Deceased,TT,882
648,2020-10-16,Confirmed,TT,62304
649,2020-10-16,Recovered,TT,70568
650,2020-10-16,Deceased,TT,840
651,2020-10-17,Confirmed,TT,61893
652,2020-10-17,Recovered,TT,72583
653,2020-10-17,Deceased,TT,1032
654,2020-10-18,Confirmed,TT,56519
655,2020-10-18,Recovered,TT,66418
656,2020-10-18,Deceased,TT,582
657,2020-10-19,Confirmed,TT,45506
658,2020-10-19,Recovered,TT,69800
659,2020-10-19,Deceased,TT,589
660,2020-10-20,Confirmed,TT,54348
661,2020-10-20,Recovered,TT,61828
662,2020-10-20,Deceased,TT,714
663,2020-10-21,Confirmed,TT,56264
664,2020-10-21,Recovered,TT,79561
665,2020-10-21,Deceased,TT,701
666,2020-10-22,Confirmed,TT,54371
667,2020-10-22,Recovered,TT,74569
668,2020-10-22,Deceased,TT,686
669,2020-10-23,Confirmed,TT,53931
670,2020-10-23,Recovered,TT,66994
671,2020-10-23,Deceased,TT,655
672,2020-10-24,Confirmed,TT,50366
673,2020-10-24,Recovered,TT,62270
674,2020-10-24,Deceased,TT,578
675,2020-10-25,Confirmed,TT,45922
676,2020-10-25,Recovered,TT,59304
677,2020-10-25,Deceased,TT,483
678,2020-10-26,Confirmed,TT,36019
679,2020-10-26,Recovered,TT,63734
680,2020-10-26,Deceased,TT,485
681,2020-10-27,Confirmed,TT,43036
682,2020-10-27,Recovered,TT,58429
683,2020-10-27,Deceased,TT,511
684,2020-10-28,Confirmed,TT,50188
685,2020-10-28,Recovered,TT,56594
686,2020-10-28,Deceased,TT,515
687,2020-10-29,Confirmed,TT,48765
688,2020-10-29,Recovered,TT,57867
689,2020-10-29,Deceased,TT,562
690,2020-10-30,Confirmed,TT,48117
691,2020-10-30,Recovered,TT,59005
692,2020-10-30,Deceased,TT,550
693,2020-10-31,Confirmed,TT,47228
694,2020-10-31,Recovered,TT,58682
695,2020-10-31,Deceased,TT,469
696,2020-11-01,Confirmed,TT,45928
697,2020-11-01,Recovered,TT,53312
